04/10/14 09:01 AM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	    13452	  106446	                   656891	                          742952	
Pendientes:       	     6055	   39748	                   293910	                          322718	
Únicos:           	     7872	   81836	                   480334	                          551705	
Pendientes únicos:	     3519	   28289	                   199330	                          222754	


Estadísticas por archivo individual:

Nombre de archivo                                                                                          	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
plone_3_theming/elements/visibleelements/plone.site_actions.rst                                            	             60	                  40	              14	                         13	              298	                238	             72	                        63	                              2333	                                1878	                             595	                                        548	                                     2511	                                       2019	                                    637	                                               582	
plone_3_theming/elements/visibleelements/plone.tableofcontents.rst                                         	             58	                  34	              13	                         10	              282	                199	             64	                        36	                              2287	                                1618	                             543	                                        401	                                     2458	                                       1736	                                    588	                                               422	
plone_3_theming/index.rst                                                                                  	            209	                   0	             153	                          0	              666	                  0	            612	                         0	                              6514	                                   0	                            6114	                                          0	                                     6737	                                          0	                                   6319	                                                 0	
plone_3_theming/intro/intro.rst                                                                            	             13	                   0	              13	                          0	              272	                  0	            272	                         0	                              1351	                                   0	                            1351	                                          0	                                     1590	                                          0	                                   1590	                                                 0	
plone_3_theming/intro/overview.rst                                                                         	             27	                   0	              25	                          0	              292	                  0	            291	                         0	                              1441	                                   0	                            1422	                                          0	                                     1713	                                          0	                                   1694	                                                 0	
plone_3_theming/intro/what.rst                                                                             	             17	                   0	              17	                          0	              264	                  0	            264	                         0	                              1373	                                   0	                            1373	                                          0	                                     1610	                                          0	                                   1610	                                                 0	
plone_3_theming/page/buildingblocks/components/skinorcomponents.rst                                        	             23	                   0	               0	                          0	              271	                  0	              0	                         0	                              1531	                                   0	                               0	                                          0	                                     1768	                                          0	                                      0	                                                 0	
plone_3_theming/page/content/overview.rst                                                                  	             73	                  59	              60	                         54	              643	                598	            636	                       592	                              3716	                                3475	                            3654	                                       3431	                                     4241	                                       3962	                                   4179	                                              3918	
plone_3_theming/page/otherinfo.rst                                                                         	            161	                 106	             136	                         94	              847	                575	            802	                       557	                              4785	                                3519	                            4521	                                       3405	                                     5504	                                       4028	                                   5212	                                              3896	
plone_3_theming/page/templates/folder-views-example.rst                                                    	             36	                  28	              31	                         26	              302	                260	            297	                       256	                              1657	                                1426	                            1623	                                       1402	                                     2145	                                       1878	                                   2111	                                              1854	
plone_3_theming/page/templates/how-to-scale-images-using-pil-in-page-templates.rst                         	             65	                  48	              47	                         40	              654	                630	            627	                       604	                              3622	                                3474	                            3433	                                       3309	                                     4199	                                       4035	                                   3974	                                              3834	
plone_3_theming/page/templates/overview.rst                                                                	             75	                  51	              52	                         46	              627	                568	            608	                       558	                              3719	                                3464	                            3579	                                       3375	                                     4181	                                       3881	                                   4040	                                              3792	
plone_3_theming/page/using-jquery-and-jquery-tools.rst                                                     	             31	                  26	              23	                         20	              248	                226	            237	                       215	                              1665	                                1560	                            1566	                                       1465	                                     1849	                                       1725	                                   1748	                                              1628	
plone_3_theming/quick-start/change-the-font-colours.rst                                                    	             64	                  51	              60	                         51	              755	                680	            755	                       680	                              4053	                                3606	                            4046	                                       3606	                                     4717	                                       4204	                                   4710	                                              4204	
plone_3_theming/quick-start/change-the-logo.rst                                                            	            137	                   0	             109	                          0	             1407	                  0	           1338	                         0	                              7397	                                   0	                            6886	                                          0	                                     8643	                                          0	                                   8075	                                                 0	
plone_3_theming/quick-start/firefox-mozilla-ui-development-tools.rst                                       	             97	                  90	              97	                         90	              644	                605	            644	                       605	                              3671	                                3438	                            3671	                                       3438	                                     4163	                                       3899	                                   4163	                                              3899	
plone_3_theming/quick-start/overview.rst                                                                   	             24	                   0	              22	                          0	              244	                  0	            242	                         0	                              1308	                                   0	                            1264	                                          0	                                     1514	                                          0	                                   1470	                                                 0	
